(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(44447, 3, 4);[100, 10, 1, 50];161;קיאן;11840;(1, 31, 17, 2, 11840);יעקב;3;(1, 31, 17, 7, 44447);ויקם יעקב וישא את בניו ואת נשיו על הגמלים
(76551, 4, 4);[100, 10, 1, 50];161;קיאן;20214;(1, 49, 31, 16, 20214);קברתי;1;(1, 49, 31, 53, 76551);שמה קברו את אברהם ואת שרה אשתו שמה קברו את יצחק ואת רבקה אשתו ושמה קברתי את לאה
(40004, 7, 4);[100, 10, 1, 50];161;קיאן;10640;(1, 29, 4, 3, 10640);יעקב;3;(1, 29, 4, 11, 40004);ויאמר להם יעקב אחי מאין אתם ויאמרו מחרן אנחנו
(1607, 12, 4);[100, 10, 1, 50];161;קיאן;415;(1, 1, 30, 17, 415);ירק;3;(1, 1, 30, 55, 1607);ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
(12740, 12, 4);[100, 10, 1, 50];161;קיאן;3412;(1, 11, 2, 5, 3412);בקעה;2;(1, 11, 2, 21, 12740);ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם
(25506, 12, 4);[100, 10, 1, 50];161;קיאן;6798;(1, 21, 4, 4, 6798);יצחק;4;(1, 21, 4, 15, 25506);וימל אברהם את יצחק בנו בן שמנת ימים כאשר צוה אתו אלהים
(20565, 14, 4);[100, 10, 1, 50];161;קיאן;5500;(1, 18, 2, 11, 5500);לקראתם;2;(1, 18, 2, 45, 20565);וישא עיניו וירא והנה שלשה אנשים נצבים עליו וירא וירץ לקראתם מפתח האהל וישתחו ארצה
(9684, 15, 4);[100, 10, 1, 50];161;קיאן;2598;(1, 8, 11, 14, 2598);קלו;1;(1, 8, 11, 45, 9684);ותבא אליו היונה לעת ערב והנה עלה זית טרף בפיה וידע נח כי קלו המים מעל הארץ
(36264, 16, 4);[100, 10, 1, 50];161;קיאן;9635;(1, 27, 1, 8, 9635);ויקרא;3;(1, 27, 1, 31, 36264);ויהי כי זקן יצחק ותכהין עיניו מראת ויקרא את עשו בנו הגדל ויאמר אליו בני ויאמר אליו הנני
(41962, 16, 4);[100, 10, 1, 50];161;קיאן;11187;(1, 30, 12, 7, 11187);ליעקב;4;(1, 30, 12, 24, 41962);ותלד זלפה שפחת לאה בן שני ליעקב
(72800, 17, 4);[100, 10, 1, 50];161;קיאן;19250;(1, 47, 16, 4, 19250);מקניכם;2;(1, 47, 16, 14, 72800);ויאמר יוסף הבו מקניכם ואתנה לכם במקניכם אם אפס כסף
(68466, 18, 4);[100, 10, 1, 50];161;קיאן;18122;(1, 44, 29, 7, 18122);וקרהו;2;(1, 44, 29, 20, 68466);ולקחתם גם את זה מעם פני וקרהו אסון והורדתם את שיבתי ברעה שאלה
(32455, 19, 4);[100, 10, 1, 50];161;קיאן;8658;(1, 24, 60, 3, 8658);רבקה;3;(1, 24, 60, 11, 32455);ויברכו את רבקה ויאמרו לה אחתנו את היי לאלפי רבבה ויירש זרעך את שער שנאיו
(44011, 21, 4);[100, 10, 1, 50];161;קיאן;11724;(1, 31, 8, 20, 11724);עקדים;2;(1, 31, 8, 72, 44011);אם כה יאמר נקדים יהיה שכרך וילדו כל הצאן נקדים ואם כה יאמר עקדים יהיה שכרך וילדו כל הצאן עקדים
(33783, 30, 4);[100, 10, 1, 50];161;קיאן;8999;(1, 25, 21, 7, 8999);עקרה;2;(1, 25, 21, 26, 33783);ויעתר יצחק ליהוה לנכח אשתו כי עקרה הוא ויעתר לו יהוה ותהר רבקה אשתו
(400, 31, 4);[100, 10, 1, 50];161;קיאן;104;(1, 1, 10, 1, 104);ויקרא;3;(1, 1, 10, 3, 400);ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
