(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(4858, 2, 4);[100, 10, 1, 50];161;קיאן;1266;(2, 4, 19, 13, 1266);המבקשים;4;(2, 4, 19, 45, 4858);ויאמר יהוה אל משה במדין לך שב מצרים כי מתו כל האנשים המבקשים את נפשך
(45480, 14, 4);[100, 10, 1, 50];161;קיאן;11969;(2, 30, 10, 16, 11969);קדשים;1;(2, 30, 10, 62, 45480);וכפר אהרן על קרנתיו אחת בשנה מדם חטאת הכפרים אחת בשנה יכפר עליו לדרתיכם קדש קדשים הוא ליהוה
(19214, 15, 4);[100, 10, 1, 50];161;קיאן;5062;(2, 13, 10, 3, 5062);החקה;3;(2, 13, 10, 10, 19214);ושמרת את החקה הזאת למועדה מימים ימימה
(55872, 19, 4);[100, 10, 1, 50];161;קיאן;14734;(2, 36, 22, 12, 14734);קרשי;1;(2, 36, 22, 36, 55872);שתי ידת לקרש האחד משלבת אחת אל אחת כן עשה לכל קרשי המשכן
(54343, 20, 4);[100, 10, 1, 50];161;קיאן;14350;(2, 35, 30, 7, 14350);קרא;1;(2, 35, 30, 22, 54343);ויאמר משה אל בני ישראל ראו קרא יהוה בשם בצלאל בן אורי בן חור למטה יהודה
(212, 25, 4);[100, 10, 1, 50];161;קיאן;52;(2, 1, 8, 1, 52);ויקם;3;(2, 1, 8, 3, 212);ויקם מלך חדש על מצרים אשר לא ידע את יוסף
(51235, 26, 4);[100, 10, 1, 50];161;קיאן;13518;(2, 34, 5, 7, 13518);ויקרא;3;(2, 34, 5, 26, 51235);וירד יהוה בענן ויתיצב עמו שם ויקרא בשם יהוה
(14909, 27, 4);[100, 10, 1, 50];161;קיאן;3913;(2, 10, 23, 7, 3913);קמו;1;(2, 10, 23, 18, 14909);לא ראו איש את אחיו ולא קמו איש מתחתיו שלשת ימים ולכל בני ישראל היה אור במושבתם
(27664, 28, 4);[100, 10, 1, 50];161;קיאן;7294;(2, 19, 3, 5, 7294);ויקרא;3;(2, 19, 3, 18, 27664);ומשה עלה אל האלהים ויקרא אליו יהוה מן ההר לאמר כה תאמר לבית יעקב ותגיד לבני ישראל
(7971, 30, 4);[100, 10, 1, 50];161;קיאן;2069;(2, 6, 25, 4, 2069);לקח;2;(2, 6, 25, 14, 7971);ואלעזר בן אהרן לקח לו מבנות פוטיאל לו לאשה ותלד לו את פינחס אלה ראשי אבות הלוים למשפחתם
