(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(17609, 8, 4);[100, 10, 1, 50];161;קיאן;4517;(5, 10, 4, 17, 4517);הקהל;2;(5, 10, 4, 65, 17609);ויכתב על הלחת כמכתב הראשון את עשרת הדברים אשר דבר יהוה אליכם בהר מתוך האש ביום הקהל ויתנם יהוה אלי
(44044, 11, 4);[100, 10, 1, 50];161;קיאן;11486;(5, 28, 49, 6, 11486);מקצה;2;(5, 28, 49, 20, 44044);ישא יהוה עליך גוי מרחק מקצה הארץ כאשר ידאה הנשר גוי אשר לא תשמע לשנו
(39490, 12, 4);[100, 10, 1, 50];161;קיאן;10318;(5, 26, 7, 9, 10318);קלנו;1;(5, 26, 7, 33, 39490);ונצעק אל יהוה אלהי אבתינו וישמע יהוה את קלנו וירא את ענינו ואת עמלנו ואת לחצנו
(1869, 13, 4);[100, 10, 1, 50];161;קיאן;467;(5, 1, 33, 6, 467);מקום;2;(5, 1, 33, 23, 1869);ההלך לפניכם בדרך לתור לכם מקום לחנתכם באש לילה לראתכם בדרך אשר תלכו בה ובענן יומם
(25131, 13, 4);[100, 10, 1, 50];161;קיאן;6450;(5, 14, 28, 1, 6450);מקצה;2;(5, 14, 28, 2, 25131);מקצה שלש שנים תוציא את כל מעשר תבואתך בשנה ההוא והנחת בשעריך
(38814, 14, 4);[100, 10, 1, 50];161;קיאן;10141;(5, 25, 15, 8, 10141);וצדק;4;(5, 25, 15, 29, 38814);אבן שלמה וצדק יהיה לך איפה שלמה וצדק יהיה לך למען יאריכו ימיך על האדמה אשר יהוה אלהיך נתן לך
(25121, 23, 4);[100, 10, 1, 50];161;קיאן;6447;(5, 14, 27, 9, 6447);חלק;3;(5, 14, 27, 32, 25121);והלוי אשר בשעריך לא תעזבנו כי אין לו חלק ונחלה עמך
(1648, 30, 4);[100, 10, 1, 50];161;קיאן;412;(5, 1, 28, 19, 412);ענקים;3;(5, 1, 28, 73, 1648);אנה אנחנו עלים אחינו המסו את לבבנו לאמר עם גדול ורם ממנו ערים גדלת ובצורת בשמים וגם בני ענקים ראינו שם
(43420, 32, 4);[100, 10, 1, 50];161;קיאן;11322;(5, 28, 35, 16, 11322);קדקדך;1;(5, 28, 35, 56, 43420);יככה יהוה בשחין רע על הברכים ועל השקים אשר לא תוכל להרפא מכף רגלך ועד קדקדך
(39121, 34, 4);[100, 10, 1, 50];161;קיאן;10225;(5, 26, 2, 1, 10225);ולקחת;3;(5, 26, 2, 3, 39121);ולקחת מראשית כל פרי האדמה אשר תביא מארצך אשר יהוה אלהיך נתן לך ושמת בטנא והלכת אל המקום אשר יבחר יהוה אלהיך לשכן שמו שם
(14934, 35, 4);[100, 10, 1, 50];161;קיאן;3842;(5, 8, 13, 1, 3842);ובקרך;3;(5, 8, 13, 3, 14934);ובקרך וצאנך ירבין וכסף וזהב ירבה לך וכל אשר לך ירבה
(47855, 35, 4);[100, 10, 1, 50];161;קיאן;12466;(5, 30, 11, 13, 12466);רחקה;3;(5, 30, 11, 45, 47855);כי המצוה הזאת אשר אנכי מצוך היום לא נפלאת הוא ממך ולא רחקה הוא
(49663, 35, 4);[100, 10, 1, 50];161;קיאן;12927;(5, 31, 17, 24, 12927);בקרבי;2;(5, 31, 17, 92, 49663);וחרה אפי בו ביום ההוא ועזבתים והסתרתי פני מהם והיה לאכל ומצאהו רעות רבות וצרות ואמר ביום ההוא הלא על כי אין אלהי בקרבי מצאוני הרעות האלה
(36395, 36, 4);[100, 10, 1, 50];161;קיאן;9496;(5, 23, 17, 4, 9496);במקום;3;(5, 23, 17, 14, 36395);עמך ישב בקרבך במקום אשר יבחר באחד שעריך בטוב לו לא תוננו
(34338, 37, 4);[100, 10, 1, 50];161;קיאן;8933;(5, 22, 6, 3, 8933);קן;1;(5, 22, 6, 7, 34338);כי יקרא קן צפור לפניך בדרך בכל עץ או על הארץ אפרחים או ביצים והאם רבצת על האפרחים או על הביצים לא תקח האם על הבנים
(29117, 47, 4);[100, 10, 1, 50];161;קיאן;7520;(5, 17, 19, 21, 7520);החקים;3;(5, 17, 19, 74, 29117);והיתה עמו וקרא בו כל ימי חייו למען ילמד ליראה את יהוה אלהיו לשמר את כל דברי התורה הזאת ואת החקים האלה לעשתם
(46040, 53, 4);[100, 10, 1, 50];161;קיאן;11995;(5, 29, 12, 2, 11995);הקים;2;(5, 29, 12, 6, 46040);למען הקים אתך היום לו לעם והוא יהיה לך לאלהים כאשר דבר לך וכאשר נשבע לאבתיך לאברהם ליצחק וליעקב
