(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(50983, 2, 4);[50, 1, 10, 100];161;קיאן;13584;(1, 35, 4, 1, 13584);ויתנו;4;(1, 35, 4, 4, 50983);ויתנו אל יעקב את כל אלהי הנכר אשר בידם ואת הנזמים אשר באזניהם ויטמן אתם יעקב תחת האלה אשר עם שכם
(64861, 4, 4);[50, 1, 10, 100];161;קיאן;17208;(1, 42, 36, 10, 17208);איננו;3;(1, 42, 36, 44, 64861);ויאמר אלהם יעקב אביהם אתי שכלתם יוסף איננו ושמעון איננו ואת בנימן תקחו עלי היו כלנה
(37202, 5, 4);[50, 1, 10, 100];161;קיאן;9887;(1, 27, 21, 11, 9887);בני;2;(1, 27, 21, 36, 37202);ויאמר יצחק אל יעקב גשה נא ואמשך בני האתה זה בני עשו אם לא
(45105, 5, 4);[50, 1, 10, 100];161;קיאן;12023;(1, 31, 30, 10, 12023);גנבת;2;(1, 31, 30, 36, 45105);ועתה הלך הלכת כי נכסף נכספתה לבית אביך למה גנבת את אלהי
(38839, 6, 4);[50, 1, 10, 100];161;קיאן;10329;(1, 28, 5, 9, 10329);לבן;3;(1, 28, 5, 31, 38839);וישלח יצחק את יעקב וילך פדנה ארם אל לבן בן בתואל הארמי אחי רבקה אם יעקב ועשו
(46377, 6, 4);[50, 1, 10, 100];161;קיאן;12368;(1, 31, 53, 6, 12368);בינינו;5;(1, 31, 53, 28, 46377);אלהי אברהם ואלהי נחור ישפטו בינינו אלהי אביהם וישבע יעקב בפחד אביו יצחק
(73938, 6, 4);[50, 1, 10, 100];161;קיאן;19535;(1, 48, 1, 16, 19535);מנשה;2;(1, 48, 1, 58, 73938);ויהי אחרי הדברים האלה ויאמר ליוסף הנה אביך חלה ויקח את שני בניו עמו את מנשה ואת אפרים
(50265, 8, 4);[50, 1, 10, 100];161;קיאן;13395;(1, 34, 22, 12, 13395);לנו;2;(1, 34, 22, 45, 50265);אך בזאת יאתו לנו האנשים לשבת אתנו להיות לעם אחד בהמול לנו כל זכר כאשר הם נמלים
(16528, 12, 4);[50, 1, 10, 100];161;קיאן;4430;(1, 14, 9, 10, 4430);שנער;2;(1, 14, 9, 39, 16528);את כדרלעמר מלך עילם ותדעל מלך גוים ואמרפל מלך שנער ואריוך מלך אלסר ארבעה מלכים את החמשה
(62645, 14, 4);[50, 1, 10, 100];161;קיאן;16633;(1, 41, 51, 6, 16633);מנשה;2;(1, 41, 51, 20, 62645);ויקרא יוסף את שם הבכור מנשה כי נשני אלהים את כל עמלי ואת כל בית אבי
(31263, 15, 4);[50, 1, 10, 100];161;קיאן;8348;(1, 24, 37, 9, 8348);הכנעני;3;(1, 24, 37, 35, 31263);וישבעני אדני לאמר לא תקח אשה לבני מבנות הכנעני אשר אנכי ישב בארצו
(43352, 16, 4);[50, 1, 10, 100];161;קיאן;11556;(1, 30, 39, 2, 11556);הצאן;4;(1, 30, 39, 9, 43352);ויחמו הצאן אל המקלות ותלדן הצאן עקדים נקדים וטלאים
(44544, 17, 4);[50, 1, 10, 100];161;קיאן;11868;(1, 31, 18, 21, 11868);כנען;2;(1, 31, 18, 71, 44544);וינהג את כל מקנהו ואת כל רכשו אשר רכש מקנה קנינו אשר רכש בפדן ארם לבוא אל יצחק אביו ארצה כנען
(32162, 22, 4);[50, 1, 10, 100];161;קיאן;8589;(1, 24, 53, 8, 8589);ויתן;4;(1, 24, 53, 32, 32162);ויוצא העבד כלי כסף וכלי זהב ובגדים ויתן לרבקה ומגדנת נתן לאחיה ולאמה
(4461, 23, 4);[50, 1, 10, 100];161;קיאן;1179;(1, 4, 6, 9, 1179);נפלו;1;(1, 4, 6, 27, 4461);ויאמר יהוה אל קין למה חרה לך ולמה נפלו פניך
(43699, 25, 4);[50, 1, 10, 100];161;קיאן;11643;(1, 31, 2, 5, 11643);לבן;3;(1, 31, 2, 16, 43699);וירא יעקב את פני לבן והנה איננו עמו כתמול שלשום
(13931, 26, 4);[50, 1, 10, 100];161;קיאן;3731;(1, 11, 29, 3, 3731);ונחור;2;(1, 11, 29, 10, 13931);ויקח אברם ונחור להם נשים שם אשת אברם שרי ושם אשת נחור מלכה בת הרן אבי מלכה ואבי יסכה
(51857, 28, 4);[50, 1, 10, 100];161;קיאן;13820;(1, 35, 22, 2, 13820);בשכן;4;(1, 35, 22, 8, 51857);ויהי בשכן ישראל בארץ ההוא וילך ראובן וישכב את בלהה פילגש אביו וישמע ישראל ויהיו בני יעקב שנים עשר
(48731, 29, 4);[50, 1, 10, 100];161;קיאן;12983;(1, 33, 11, 9, 12983);חנני;3;(1, 33, 11, 25, 48731);קח נא את ברכתי אשר הבאת לך כי חנני אלהים וכי יש לי כל ויפצר בו ויקח
(24661, 32, 4);[50, 1, 10, 100];161;קיאן;6571;(1, 20, 6, 22, 6571);נתתיך;1;(1, 20, 6, 74, 24661);ויאמר אליו האלהים בחלם גם אנכי ידעתי כי בתם לבבך עשית זאת ואחשך גם אנכי אותך מחטו לי על כן לא נתתיך לנגע אליה
(31955, 32, 4);[50, 1, 10, 100];161;קיאן;8533;(1, 24, 49, 8, 8533);אדני;3;(1, 24, 49, 26, 31955);ועתה אם ישכם עשים חסד ואמת את אדני הגידו לי ואם לא הגידו לי ואפנה על ימין או על שמאל
(26708, 37, 4);[50, 1, 10, 100];161;קיאן;7127;(1, 21, 28, 6, 7127);הצאן;4;(1, 21, 28, 22, 26708);ויצב אברהם את שבע כבשת הצאן לבדהן
