(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(42143, 12, 4);[50, 1, 10, 100];161;קיאן;11099;(2, 28, 38, 6, 11099);אהרן;4;(2, 28, 38, 21, 42143);והיה על מצח אהרן ונשא אהרן את עון הקדשים אשר יקדישו בני ישראל לכל מתנת קדשיהם והיה על מצחו תמיד לרצון להם לפני יהוה
(3562, 14, 4);[50, 1, 10, 100];161;קיאן;917;(2, 3, 18, 26, 917);אלהינו;5;(2, 3, 18, 112, 3562);ושמעו לקלך ובאת אתה וזקני ישראל אל מלך מצרים ואמרתם אליו יהוה אלהי העבריים נקרה עלינו ועתה נלכה נא דרך שלשת ימים במדבר ונזבחה ליהוה אלהינו
(6003, 19, 4);[50, 1, 10, 100];161;קיאן;1567;(2, 5, 10, 2, 1567);נגשי;1;(2, 5, 10, 6, 6003);ויצאו נגשי העם ושטריו ויאמרו אל העם לאמר כה אמר פרעה אינני נתן לכם תבן
(3287, 20, 4);[50, 1, 10, 100];161;קיאן;853;(2, 3, 16, 4, 853);זקני;3;(2, 3, 16, 12, 3287);לך ואספת את זקני ישראל ואמרת אלהם יהוה אלהי אבתיכם נראה אלי אלהי אברהם יצחק ויעקב לאמר פקד פקדתי אתכם ואת העשוי לכם במצרים
(59451, 22, 4);[50, 1, 10, 100];161;קיאן;15622;(2, 38, 26, 13, 15622);שנה;2;(2, 38, 26, 51, 59451);בקע לגלגלת מחצית השקל בשקל הקדש לכל העבר על הפקדים מבן עשרים שנה ומעלה לשש מאות אלף ושלשת אלפים וחמש מאות וחמשים
(63190, 23, 4);[50, 1, 10, 100];161;קיאן;16621;(2, 40, 31, 5, 16621);ובניו;3;(2, 40, 31, 20, 63190);ורחצו ממנו משה ואהרן ובניו את ידיהם ואת רגליהם
(59839, 24, 4);[50, 1, 10, 100];161;קיאן;15721;(2, 39, 1, 16, 15721);לאהרן;5;(2, 39, 1, 66, 59839);ומן התכלת והארגמן ותולעת השני עשו בגדי שרד לשרת בקדש ויעשו את בגדי הקדש אשר לאהרן כאשר צוה יהוה את משה
(38405, 26, 4);[50, 1, 10, 100];161;קיאן;10162;(2, 26, 24, 15, 10162);לשני;3;(2, 26, 24, 59, 38405);ויהיו תאמם מלמטה ויחדו יהיו תמים על ראשו אל הטבעת האחת כן יהיה לשניהם לשני המקצעת יהיו
(39531, 32, 4);[50, 1, 10, 100];161;קיאן;10437;(2, 27, 9, 7, 10437);תימנה;4;(2, 27, 9, 26, 39531);ועשית את חצר המשכן לפאת נגב תימנה קלעים לחצר שש משזר מאה באמה ארך לפאה האחת
(56200, 34, 4);[50, 1, 10, 100];161;קיאן;14810;(2, 36, 29, 12, 14810);כן;2;(2, 36, 29, 46, 56200);והיו תואמם מלמטה ויחדו יהיו תמים אל ראשו אל הטבעת האחת כן עשה לשניהם לשני המקצעת
(50750, 45, 4);[50, 1, 10, 100];161;קיאן;13384;(2, 33, 19, 7, 13384);פניך;2;(2, 33, 19, 23, 50750);ויאמר אני אעביר כל טובי על פניך וקראתי בשם יהוה לפניך וחנתי את אשר אחן ורחמתי את אשר ארחם
(2375, 55, 4);[50, 1, 10, 100];161;קיאן;614;(2, 3, 2, 15, 614);איננו;4;(2, 3, 2, 57, 2375);וירא מלאך יהוה אליו בלבת אש מתוך הסנה וירא והנה הסנה בער באש והסנה איננו אכל
(24460, 57, 4);[50, 1, 10, 100];161;קיאן;6426;(2, 16, 23, 23, 6426);הניחו;2;(2, 16, 23, 79, 24460);ויאמר אלהם הוא אשר דבר יהוה שבתון שבת קדש ליהוה מחר את אשר תאפו אפו ואת אשר תבשלו בשלו ואת כל העדף הניחו לכם למשמרת עד הבקר
(1817, 61, 4);[50, 1, 10, 100];161;קיאן;469;(2, 2, 16, 7, 469);ותמלאנה;6;(2, 2, 16, 34, 1817);ולכהן מדין שבע בנות ותבאנה ותדלנה ותמלאנה את הרהטים להשקות צאן אביהן
(44129, 61, 4);[50, 1, 10, 100];161;קיאן;11618;(2, 29, 29, 6, 11618);לבניו;3;(2, 29, 29, 24, 44129);ובגדי הקדש אשר לאהרן יהיו לבניו אחריו למשחה בהם ולמלא בם את ידם
(25318, 64, 4);[50, 1, 10, 100];161;קיאן;6654;(2, 17, 3, 17, 6654);בני;2;(2, 17, 3, 62, 25318);ויצמא שם העם למים וילן העם על משה ויאמר למה זה העליתנו ממצרים להמית אתי ואת בני ואת מקני בצמא
(15660, 67, 4);[50, 1, 10, 100];161;קיאן;4119;(2, 11, 7, 11, 4119);למען;4;(2, 11, 7, 41, 15660);ולכל בני ישראל לא יחרץ כלב לשנו למאיש ועד בהמה למען תדעון אשר יפלה יהוה בין מצרים ובין ישראל
(59444, 68, 4);[50, 1, 10, 100];161;קיאן;15620;(2, 38, 26, 11, 15620);מבן;3;(2, 38, 26, 44, 59444);בקע לגלגלת מחצית השקל בשקל הקדש לכל העבר על הפקדים מבן עשרים שנה ומעלה לשש מאות אלף ושלשת אלפים וחמש מאות וחמשים
(11486, 69, 4);[50, 1, 10, 100];161;קיאן;2978;(2, 8, 27, 11, 2978);נשאר;1;(2, 8, 27, 42, 11486);ויעש יהוה כדבר משה ויסר הערב מפרעה מעבדיו ומעמו לא נשאר אחד
(38392, 75, 4);[50, 1, 10, 100];161;קיאן;10159;(2, 26, 24, 12, 10159);כן;2;(2, 26, 24, 46, 38392);ויהיו תאמם מלמטה ויחדו יהיו תמים על ראשו אל הטבעת האחת כן יהיה לשניהם לשני המקצעת יהיו
(42242, 81, 4);[50, 1, 10, 100];161;קיאן;11124;(2, 28, 39, 7, 11124);ואבנט;4;(2, 28, 39, 28, 42242);ושבצת הכתנת שש ועשית מצנפת שש ואבנט תעשה מעשה רקם
(56492, 83, 4);[50, 1, 10, 100];161;קיאן;14880;(2, 36, 35, 5, 14880);וארגמן;6;(2, 36, 35, 21, 56492);ויעש את הפרכת תכלת וארגמן ותולעת שני ושש משזר מעשה חשב עשה אתה כרבים
(3389, 86, 4);[50, 1, 10, 100];161;קיאן;877;(2, 3, 17, 4, 877);מעני;3;(2, 3, 17, 15, 3389);ואמר אעלה אתכם מעני מצרים אל ארץ הכנעני והחתי והאמרי והפרזי והחוי והיבוסי אל ארץ זבת חלב ודבש
(23684, 88, 4);[50, 1, 10, 100];161;קיאן;6221;(2, 16, 9, 12, 6221);לפני;3;(2, 16, 9, 39, 23684);ויאמר משה אל אהרן אמר אל כל עדת בני ישראל קרבו לפני יהוה כי שמע את תלנתיכם
(30406, 88, 4);[50, 1, 10, 100];161;קיאן;8048;(2, 21, 8, 10, 8048);נכרי;1;(2, 21, 8, 33, 30406);אם רעה בעיני אדניה אשר לא יעדה והפדה לעם נכרי לא ימשל למכרה בבגדו בה
(32822, 92, 4);[50, 1, 10, 100];161;קיאן;8743;(2, 22, 29, 4, 8743);לצאנך;4;(2, 22, 29, 14, 32822);כן תעשה לשרך לצאנך שבעת ימים יהיה עם אמו ביום השמיני תתנו לי
(50597, 96, 4);[50, 1, 10, 100];161;קיאן;13341;(2, 33, 16, 7, 13341);בעיניך;4;(2, 33, 16, 25, 50597);ובמה יודע אפוא כי מצאתי חן בעיניך אני ועמך הלוא בלכתך עמנו ונפלינו אני ועמך מכל העם אשר על פני האדמה
(15883, 98, 4);[50, 1, 10, 100];161;קיאן;4180;(2, 11, 10, 18, 4180);בני;2;(2, 11, 10, 61, 15883);ומשה ואהרן עשו את כל המפתים האלה לפני פרעה ויחזק יהוה את לב פרעה ולא שלח את בני ישראל מארצו
(46854, 1, 4);[5, 30, 8, 300];343;שחלה;12332;(2, 31, 3, 9, 12332);מלאכה;5;(2, 31, 3, 42, 46854);ואמלא אתו רוח אלהים בחכמה ובתבונה ובדעת ובכל מלאכה
(41365, 6, 4);[5, 30, 8, 300];343;שחלה;10894;(2, 28, 24, 8, 10894);הטבעת;1;(2, 28, 24, 24, 41365);ונתתה את שתי עבתת הזהב על שתי הטבעת אל קצות החשן
(60578, 6, 4);[5, 30, 8, 300];343;שחלה;15913;(2, 39, 17, 7, 15913);הטבעת;1;(2, 39, 17, 23, 60578);ויתנו שתי העבתת הזהב על שתי הטבעת על קצות החשן
(23898, 7, 4);[5, 30, 8, 300];343;שחלה;6276;(2, 16, 13, 9, 6276);היתה;4;(2, 16, 13, 36, 23898);ויהי בערב ותעל השלו ותכס את המחנה ובבקר היתה שכבת הטל סביב למחנה
(43348, 7, 4);[5, 30, 8, 300];343;שחלה;11417;(2, 29, 18, 5, 11417);המזבחה;6;(2, 29, 18, 20, 43348);והקטרת את כל האיל המזבחה עלה הוא ליהוה ריח ניחוח אשה ליהוה הוא
(1996, 8, 4);[5, 30, 8, 300];343;שחלה;514;(2, 2, 20, 9, 514);האיש;1;(2, 2, 20, 29, 1996);ויאמר אל בנתיו ואיו למה זה עזבתן את האיש קראן לו ויאכל לחם
(43848, 10, 4);[5, 30, 8, 300];343;שחלה;11551;(2, 29, 25, 5, 11551);המזבחה;1;(2, 29, 25, 19, 43848);ולקחת אתם מידם והקטרת המזבחה על העלה לריח ניחוח לפני יהוה אשה הוא ליהוה
(21599, 11, 4);[5, 30, 8, 300];343;שחלה;5677;(2, 14, 28, 7, 5677);הפרשים;1;(2, 14, 28, 24, 21599);וישבו המים ויכסו את הרכב ואת הפרשים לכל חיל פרעה הבאים אחריהם בים לא נשאר בהם עד אחד
(19604, 15, 4);[5, 30, 8, 300];343;שחלה;5165;(2, 13, 16, 12, 5165);יהוה;2;(2, 13, 16, 46, 19604);והיה לאות על ידכה ולטוטפת בין עיניך כי בחזק יד הוציאנו יהוה ממצרים
(38960, 16, 4);[5, 30, 8, 300];343;שחלה;10296;(2, 26, 35, 7, 10296);המנרה;1;(2, 26, 35, 24, 38960);ושמת את השלחן מחוץ לפרכת ואת המנרה נכח השלחן על צלע המשכן תימנה והשלחן תתן על צלע צפון
(38519, 19, 4);[5, 30, 8, 300];343;שחלה;10190;(2, 26, 26, 8, 10190);המשכן;1;(2, 26, 26, 30, 38519);ועשית בריחם עצי שטים חמשה לקרשי צלע המשכן האחד
(55647, 19, 4);[5, 30, 8, 300];343;שחלה;14676;(2, 36, 17, 6, 14676);היריעה;6;(2, 36, 17, 24, 55647);ויעש ללאת חמשים על שפת היריעה הקיצנה במחברת וחמשים ללאת עשה על שפת היריעה החברת השנית
(51099, 20, 4);[5, 30, 8, 300];343;שחלה;13481;(2, 34, 3, 10, 13481);ההר;2;(2, 34, 3, 29, 51099);ואיש לא יעלה עמך וגם איש אל ירא בכל ההר גם הצאן והבקר אל ירעו אל מול ההר ההוא
(22837, 21, 4);[5, 30, 8, 300];343;שחלה;5998;(2, 15, 25, 3, 5998);יהוה;2;(2, 15, 25, 9, 22837);ויצעק אל יהוה ויורהו יהוה עץ וישלך אל המים וימתקו המים שם שם לו חק ומשפט ושם נסהו
(15260, 22, 4);[5, 30, 8, 300];343;שחלה;4010;(2, 11, 1, 2, 4010);יהוה;2;(2, 11, 1, 7, 15260);ויאמר יהוה אל משה עוד נגע אחד אביא על פרעה ועל מצרים אחרי כן ישלח אתכם מזה כשלחו כלה גרש יגרש אתכם מזה
(49680, 23, 4);[5, 30, 8, 300];343;שחלה;13089;(2, 33, 1, 8, 13089);אתה;3;(2, 33, 1, 25, 49680);וידבר יהוה אל משה לך עלה מזה אתה והעם אשר העלית מארץ מצרים אל הארץ אשר נשבעתי לאברהם ליצחק וליעקב לאמר לזרעך אתננה
(40280, 24, 4);[5, 30, 8, 300];343;שחלה;10617;(2, 28, 1, 21, 10617);אהרן;2;(2, 28, 1, 81, 40280);ואתה הקרב אליך את אהרן אחיך ואת בניו אתו מתוך בני ישראל לכהנו לי אהרן נדב ואביהוא אלעזר ואיתמר בני אהרן
(62041, 29, 4);[5, 30, 8, 300];343;שחלה;16307;(2, 40, 4, 9, 16307);המנרה;5;(2, 40, 4, 35, 62041);והבאת את השלחן וערכת את ערכו והבאת את המנרה והעלית את נרתיה
(59604, 30, 4);[5, 30, 8, 300];343;שחלה;15659;(2, 38, 28, 11, 15659);ראשיהם;5;(2, 38, 28, 50, 59604);ואת האלף ושבע המאות וחמשה ושבעים עשה ווים לעמודים וצפה ראשיהם וחשק אתם
(15571, 32, 4);[5, 30, 8, 300];343;שחלה;4095;(2, 11, 5, 19, 4095);בהמה;4;(2, 11, 5, 70, 15571);ומת כל בכור בארץ מצרים מבכור פרעה הישב על כסאו עד בכור השפחה אשר אחר הרחים וכל בכור בהמה
(30961, 35, 4);[5, 30, 8, 300];343;שחלה;8200;(2, 21, 23, 4, 8200);ונתתה;5;(2, 21, 23, 16, 30961);ואם אסון יהיה ונתתה נפש תחת נפש
(57027, 36, 4);[5, 30, 8, 300];343;שחלה;15020;(2, 37, 8, 13, 15020);הכרבים;1;(2, 37, 8, 42, 57027);כרוב אחד מקצה מזה וכרוב אחד מקצה מזה מן הכפרת עשה את הכרבים משני קצוותו
(7947, 39, 4);[5, 30, 8, 300];343;שחלה;2063;(2, 6, 24, 6, 2063);אלה;3;(2, 6, 24, 27, 7947);ובני קרח אסיר ואלקנה ואביאסף אלה משפחת הקרחי
(57735, 40, 4);[5, 30, 8, 300];343;שחלה;15195;(2, 37, 21, 15, 15195);ממנה;4;(2, 37, 21, 60, 57735);וכפתר תחת שני הקנים ממנה וכפתר תחת שני הקנים ממנה וכפתר תחת שני הקנים ממנה לששת הקנים היצאים ממנה
(17064, 46, 4);[5, 30, 8, 300];343;שחלה;4487;(2, 12, 19, 18, 4487);הארץ;1;(2, 12, 19, 68, 17064);שבעת ימים שאר לא ימצא בבתיכם כי כל אכל מחמצת ונכרתה הנפש ההוא מעדת ישראל בגר ובאזרח הארץ
(46028, 46, 4);[5, 30, 8, 300];343;שחלה;12109;(2, 30, 21, 3, 12109);ורגליהם;6;(2, 30, 21, 16, 46028);ורחצו ידיהם ורגליהם ולא ימתו והיתה להם חק עולם לו ולזרעו לדרתם
(14809, 47, 4);[5, 30, 8, 300];343;שחלה;3882;(2, 10, 21, 5, 3882);נטה;3;(2, 10, 21, 17, 14809);ויאמר יהוה אל משה נטה ידך על השמים ויהי חשך על ארץ מצרים וימש חשך
(27073, 49, 4);[5, 30, 8, 300];343;שחלה;7135;(2, 18, 19, 14, 7135);אתה;3;(2, 18, 19, 53, 27073);עתה שמע בקלי איעצך ויהי אלהים עמך היה אתה לעם מול האלהים והבאת אתה את הדברים אל האלהים
(38964, 50, 4);[5, 30, 8, 300];343;שחלה;10296;(2, 26, 35, 7, 10296);המנרה;5;(2, 26, 35, 28, 38964);ושמת את השלחן מחוץ לפרכת ואת המנרה נכח השלחן על צלע המשכן תימנה והשלחן תתן על צלע צפון
(27293, 52, 4);[5, 30, 8, 300];343;שחלה;7194;(2, 18, 22, 17, 7194);והקל;2;(2, 18, 22, 58, 27293);ושפטו את העם בכל עת והיה כל הדבר הגדל יביאו אליך וכל הדבר הקטן ישפטו הם והקל מעליך ונשאו אתך
(53679, 52, 4);[5, 30, 8, 300];343;שחלה;14178;(2, 35, 19, 3, 14178);השרד;1;(2, 35, 19, 7, 53679);את בגדי השרד לשרת בקדש את בגדי הקדש לאהרן הכהן ואת בגדי בניו לכהן
(17043, 53, 4);[5, 30, 8, 300];343;שחלה;4482;(2, 12, 19, 13, 4482);ההוא;2;(2, 12, 19, 47, 17043);שבעת ימים שאר לא ימצא בבתיכם כי כל אכל מחמצת ונכרתה הנפש ההוא מעדת ישראל בגר ובאזרח הארץ
(62820, 54, 4);[5, 30, 8, 300];343;שחלה;16519;(2, 40, 21, 16, 16519);יהוה;4;(2, 40, 21, 57, 62820);ויבא את הארן אל המשכן וישם את פרכת המסך ויסך על ארון העדות כאשר צוה יהוה את משה
(54374, 55, 4);[5, 30, 8, 300];343;שחלה;14359;(2, 35, 30, 16, 14359);יהודה;2;(2, 35, 30, 53, 54374);ויאמר משה אל בני ישראל ראו קרא יהוה בשם בצלאל בן אורי בן חור למטה יהודה
(49070, 59, 4);[5, 30, 8, 300];343;שחלה;12920;(2, 32, 25, 2, 12920);משה;3;(2, 32, 25, 7, 49070);וירא משה את העם כי פרע הוא כי פרעה אהרן לשמצה בקמיהם
(54599, 66, 4);[5, 30, 8, 300];343;שחלה;14411;(2, 35, 35, 19, 14411);מלאכה;5;(2, 35, 35, 75, 54599);מלא אתם חכמת לב לעשות כל מלאכת חרש וחשב ורקם בתכלת ובארגמן בתולעת השני ובשש וארג עשי כל מלאכה וחשבי מחשבת
(60770, 67, 4);[5, 30, 8, 300];343;שחלה;15965;(2, 39, 20, 17, 15965);האפד;1;(2, 39, 20, 65, 60770);ויעשו שתי טבעת זהב ויתנם על שתי כתפת האפד מלמטה ממול פניו לעמת מחברתו ממעל לחשב האפד
(13994, 72, 4);[5, 30, 8, 300];343;שחלה;3659;(2, 10, 8, 5, 3659);אהרן;2;(2, 10, 8, 15, 13994);ויושב את משה ואת אהרן אל פרעה ויאמר אלהם לכו עבדו את יהוה אלהיכם מי ומי ההלכים
(15713, 73, 4);[5, 30, 8, 300];343;שחלה;4133;(2, 11, 8, 6, 4133);והשתחוו;2;(2, 11, 8, 20, 15713);וירדו כל עבדיך אלה אלי והשתחוו לי לאמר צא אתה וכל העם אשר ברגליך ואחרי כן אצא ויצא מעם פרעה בחרי אף
(32047, 73, 4);[5, 30, 8, 300];343;שחלה;8525;(2, 22, 8, 22, 8525);האלהים;1;(2, 22, 8, 56, 32047);על כל דבר פשע על שור על חמור על שה על שלמה על כל אבדה אשר יאמר כי הוא זה עד האלהים יבא דבר שניהם אשר ירשיען אלהים ישלם שנים לרעהו
(38844, 74, 4);[5, 30, 8, 300];343;שחלה;10267;(2, 26, 33, 6, 10267);והבאת;2;(2, 26, 33, 23, 38844);ונתתה את הפרכת תחת הקרסים והבאת שמה מבית לפרכת את ארון העדות והבדילה הפרכת לכם בין הקדש ובין קדש הקדשים
(52967, 75, 4);[5, 30, 8, 300];343;שחלה;13987;(2, 35, 1, 14, 13987);יהוה;4;(2, 35, 1, 51, 52967);ויקהל משה את כל עדת בני ישראל ויאמר אלהם אלה הדברים אשר צוה יהוה לעשת אתם
(41144, 78, 4);[5, 30, 8, 300];343;שחלה;10836;(2, 28, 20, 1, 10836);והטור;2;(2, 28, 20, 2, 41144);והטור הרביעי תרשיש ושהם וישפה משבצים זהב יהיו במלואתם
(59837, 80, 4);[5, 30, 8, 300];343;שחלה;15721;(2, 39, 1, 16, 15721);לאהרן;3;(2, 39, 1, 64, 59837);ומן התכלת והארגמן ותולעת השני עשו בגדי שרד לשרת בקדש ויעשו את בגדי הקדש אשר לאהרן כאשר צוה יהוה את משה
(11953, 83, 4);[5, 30, 8, 300];343;שחלה;3105;(2, 9, 9, 1, 3105);והיה;2;(2, 9, 9, 2, 11953);והיה לאבק על כל ארץ מצרים והיה על האדם ועל הבהמה לשחין פרח אבעבעת בכל ארץ מצרים
