(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(4556, 7, 4);[50, 1, 10, 100];161;קיאן;1172;(5, 2, 37, 4, 1172);בני;2;(5, 2, 37, 9, 4556);רק אל ארץ בני עמון לא קרבת כל יד נחל יבק וערי ההר וכל אשר צוה יהוה אלהינו
(22216, 13, 4);[50, 1, 10, 100];161;קיאן;5691;(5, 12, 25, 11, 5691);בעיני;4;(5, 12, 25, 43, 22216);לא תאכלנו למען ייטב לך ולבניך אחריך כי תעשה הישר בעיני יהוה
(9212, 15, 4);[50, 1, 10, 100];161;קיאן;2381;(5, 4, 43, 13, 2381);בבשן;4;(5, 4, 43, 53, 9212);את בצר במדבר בארץ המישר לראובני ואת ראמת בגלעד לגדי ואת גולן בבשן למנשי
(44996, 16, 4);[50, 1, 10, 100];161;קיאן;11735;(5, 28, 63, 18, 11735);ונסחתם;2;(5, 28, 63, 78, 44996);והיה כאשר שש יהוה עליכם להיטיב אתכם ולהרבות אתכם כן ישיש יהוה עליכם להאביד אתכם ולהשמיד אתכם ונסחתם מעל האדמה אשר אתה בא שמה לרשתה
(48983, 22, 4);[50, 1, 10, 100];161;קיאן;12751;(5, 31, 9, 6, 12751);ויתנה;4;(5, 31, 9, 23, 48983);ויכתב משה את התורה הזאת ויתנה אל הכהנים בני לוי הנשאים את ארון ברית יהוה ואל כל זקני ישראל
(409, 26, 4);[50, 1, 10, 100];161;קיאן;110;(5, 1, 7, 20, 110);הנהר;2;(5, 1, 7, 78, 409);פנו וסעו לכם ובאו הר האמרי ואל כל שכניו בערבה בהר ובשפלה ובנגב ובחוף הים ארץ הכנעני והלבנון עד הנהר הגדל נהר פרת
(4481, 32, 4);[50, 1, 10, 100];161;קיאן;1151;(5, 2, 36, 6, 1151);ארנן;3;(5, 2, 36, 19, 4481);מערער אשר על שפת נחל ארנן והעיר אשר בנחל ועד הגלעד לא היתה קריה אשר שגבה ממנו את הכל נתן יהוה אלהינו לפנינו
(14059, 32, 4);[50, 1, 10, 100];161;קיאן;3614;(5, 7, 24, 1, 3614);ונתן;4;(5, 7, 24, 4, 14059);ונתן מלכיהם בידך והאבדת את שמם מתחת השמים לא יתיצב איש בפניך עד השמדך אתם
(37062, 32, 4);[50, 1, 10, 100];161;קיאן;9677;(5, 24, 4, 4, 9677);הראשון;6;(5, 24, 4, 16, 37062);לא יוכל בעלה הראשון אשר שלחה לשוב לקחתה להיות לו לאשה אחרי אשר הטמאה כי תועבה הוא לפני יהוה ולא תחטיא את הארץ אשר יהוה אלהיך נתן לך נחלה
(52890, 36, 4);[50, 1, 10, 100];161;קיאן;13778;(5, 32, 52, 12, 13778);אני;2;(5, 32, 52, 37, 52890);כי מנגד תראה את הארץ ושמה לא תבוא אל הארץ אשר אני נתן לבני ישראל
(39867, 41, 4);[50, 1, 10, 100];161;קיאן;10408;(5, 26, 13, 7, 10408);מן;2;(5, 26, 13, 29, 39867);ואמרת לפני יהוה אלהיך בערתי הקדש מן הבית וגם נתתיו ללוי ולגר ליתום ולאלמנה ככל מצותך אשר צויתני לא עברתי ממצותיך ולא שכחתי
(45967, 46, 4);[50, 1, 10, 100];161;קיאן;11977;(5, 29, 10, 6, 11977);מחניך;3;(5, 29, 10, 23, 45967);טפכם נשיכם וגרך אשר בקרב מחניך מחטב עציך עד שאב מימיך
(19639, 53, 4);[50, 1, 10, 100];161;קיאן;5037;(5, 11, 17, 13, 5037);תתן;3;(5, 11, 17, 45, 19639);וחרה אף יהוה בכם ועצר את השמים ולא יהיה מטר והאדמה לא תתן את יבולה ואבדתם מהרה מעל הארץ הטבה אשר יהוה נתן לכם
(22078, 59, 4);[50, 1, 10, 100];161;קיאן;5655;(5, 12, 22, 8, 5655);כן;2;(5, 12, 22, 25, 22078);אך כאשר יאכל את הצבי ואת האיל כן תאכלנו הטמא והטהור יחדו יאכלנו
(12089, 65, 4);[50, 1, 10, 100];161;קיאן;3127;(5, 6, 16, 2, 3127);תנסו;2;(5, 6, 16, 4, 12089);לא תנסו את יהוה אלהיכם כאשר נסיתם במסה
(13299, 73, 4);[50, 1, 10, 100];161;קיאן;3423;(5, 7, 11, 9, 3423);אנכי;2;(5, 7, 11, 35, 13299);ושמרת את המצוה ואת החקים ואת המשפטים אשר אנכי מצוך היום לעשותם
(38429, 75, 4);[50, 1, 10, 100];161;קיאן;10044;(5, 25, 7, 12, 10044);הזקנים;4;(5, 25, 7, 45, 38429);ואם לא יחפץ האיש לקחת את יבמתו ועלתה יבמתו השערה אל הזקנים ואמרה מאן יבמי להקים לאחיו שם בישראל לא אבה יבמי
(53607, 75, 4);[50, 1, 10, 100];161;קיאן;13956;(5, 33, 16, 6, 13956);סנה;2;(5, 33, 16, 24, 53607);וממגד ארץ ומלאה ורצון שכני סנה תבואתה לראש יוסף ולקדקד נזיר אחיו
(49833, 85, 4);[50, 1, 10, 100];161;קיאן;12972;(5, 31, 20, 6, 12972);נשבעתי;1;(5, 31, 20, 19, 49833);כי אביאנו אל האדמה אשר נשבעתי לאבתיו זבת חלב ודבש ואכל ושבע ודשן ופנה אל אלהים אחרים ועבדום ונאצוני והפר את בריתי
(3008, 87, 4);[50, 1, 10, 100];161;קיאן;764;(5, 2, 8, 13, 764);ונפן;2;(5, 2, 8, 55, 3008);ונעבר מאת אחינו בני עשו הישבים בשעיר מדרך הערבה מאילת ומעצין גבר ונפן ונעבר דרך מדבר מואב
(3930, 89, 4);[50, 1, 10, 100];161;קיאן;1007;(5, 2, 25, 14, 1007);ישמעון;6;(5, 2, 25, 51, 3930);היום הזה אחל תת פחדך ויראתך על פני העמים תחת כל השמים אשר ישמעון שמעך ורגזו וחלו מפניך
(33514, 91, 4);[50, 1, 10, 100];161;קיאן;8707;(5, 21, 15, 9, 8707);שנואה;2;(5, 21, 15, 34, 33514);כי תהיין לאיש שתי נשים האחת אהובה והאחת שנואה וילדו לו בנים האהובה והשנואה והיה הבן הבכר לשניאה
(34470, 91, 4);[50, 1, 10, 100];161;קיאן;8971;(5, 22, 8, 2, 8971);תבנה;3;(5, 22, 8, 5, 34470);כי תבנה בית חדש ועשית מעקה לגגך ולא תשים דמים בביתך כי יפל הנפל ממנו
(37841, 93, 4);[50, 1, 10, 100];161;קיאן;9889;(5, 24, 18, 11, 9889);כן;2;(5, 24, 18, 41, 37841);וזכרת כי עבד היית במצרים ויפדך יהוה אלהיך משם על כן אנכי מצוך לעשות את הדבר הזה
(25508, 97, 4);[50, 1, 10, 100];161;קיאן;6554;(5, 15, 5, 15, 6554);אנכי;2;(5, 15, 5, 52, 25508);רק אם שמוע תשמע בקול יהוה אלהיך לשמר לעשות את כל המצוה הזאת אשר אנכי מצוך היום
